suggestor,baby_name,rownum,team,division
Baby Mama,Haylee Jr.,1,Galway,1A
Unfactual Karim,Babymcbabyface,2,Limerick,1A
Python > R,PytHam,3,Waterford,1A
Wei Yang,R,4,Cork,1A
Unfactual Karim,Apple,5,Tipperary,1A
Wei Yang,Hadlee-Wick-Ham,6,Westmeath,1A
Wei Yang,Wei Yang,7,Clare,1B
J-Ho fo' Sho',Linear-regression Inferential Statistics Ham (L.I.S.H.),8,Kilkenny,1B
Not me,Openina,9,Wexford,1B
Factual Karim,Jandice,10,Laois,1B
True Karim,Karima,11,Dublin,1B
Sober Giuliani,Jackpot,12,Carlow,1B
Steven,Seven,13,Kerry,2A
Frank Z,Moon Unit,14,Antrim,2A
Sober Giuliani,Innovation (Inna),15,Offaly,2A
Sober Giuliani,Earnest (Ernie),16,Meath,2A
Ham,Ham,17,Wicklow,2A
"Def, true Karim",Crowdsource,18,Mayo,2A
